adversario,altura,ano_nascimento,assistencias,bloqueios,carrinhos,chutes_certos,chutes_total,cidade_nascimento,codigo,cruzamentos,faltas_cometidas,faltas_sofridas,gols,impedimentos,nome,pais_nascimento,passes,peso,posicao,roubadas,time
Greece,1.74,"22 February, 1986",0,0,0,0,0,Okayama,394651,0,0,0,0,0,Aoyama Toshihiro,Japan,0,73,Midfielder,0,Japan
Greece,1.77,"3 January, 1990",0,0,0,0,0,Osaka,394835,0,0,0,0,0,Kakitani Yoichiro,Japan,0,68,Forward,0,Japan
Greece,1.79,"28 August, 1985",0,0,0,0,0,Miyazaki,395125,0,0,0,0,0,Inoha Masahiko,Japan,0,74,Defender,0,Japan
Greece,1.69,"4 April, 1990",0,0,0,0,0,Kanagawa,445387,0,0,0,0,0,Saito Manabu,Japan,0,68,Forward,0,Japan
Greece,1.85,"12 April, 1990",0,0,0,0,0,Kashiwa,445416,0,0,0,0,0,Hiroki Sakai,Japan,0,70,Defender,0,Japan
Greece,1.72,"12 November, 1989",0,0,0,0,0,Oita,445461,0,0,0,0,0,Hiroshi Kiyotake,Japan,0,63,Forward,0,Japan
Greece,1.76,"14 March, 1991",0,0,0,0,0,New York,447020,0,0,0,0,0,Gotoku Sakai,United States,0,74,Defender,0,Japan
Japan,1.85,"10 June, 1985",0,2,1,1,2,Xanthi,409126,0,2,1,0,0,Vasilis Torosidis,Greece,16,80,Defender,4,Greece
Japan,1.86,"14 June, 1991",0,1,2,0,0,Naxos,490673,0,0,2,0,0,Konstantinos Manolas,Greece,8,79,Defender,8,Greece
Japan,1.86,"9 June, 1988",0,0,0,0,0,Kalamata,349081,1,2,1,0,0,Sokratis Papastathopoulos,Greece,12,85,Defender,8,Greece
Japan,1.84,"27 June, 1984",0,1,1,1,1,Aschaffenburg,408160,4,4,1,0,0,José Holebas,West Germany,18,79,Defender,8,Greece
Japan,1.78,"12 October, 1986",0,4,0,0,0,Livadia,415506,3,0,1,0,0,Ioannis Maniatis,Greece,22,68,Midfielder,4,Greece
Japan,1.83,"21 June, 1979",0,1,4,0,0,Patras,348947,0,4,0,0,0,Kostas Katsouranis,Greece,8,81,Midfielder,2,Greece
Japan,1.84,"26 July, 1987",0,0,1,1,2,Tirana,349158,2,1,3,0,0,Panagiotis Koné,Albania,6,74,Midfielder,4,Greece
Japan,1.64,"21 December, 1990",0,0,3,0,0,Drama,531608,1,1,0,0,0,Ioannis Fetfatzidis,Greece,10,64,Forward,0,Greece
Japan,1.88,"12 March, 1988",0,0,0,1,1,Kavala,409124,1,0,0,0,0,Konstantinos Mitroglou,Greece,1,94,Forward,0,Greece
Japan,1.92,"21 February, 1985",0,0,5,0,2,Heraklion,346109,1,3,7,0,0,Georgios Samaras,Greece,11,86,Forward,5,Greece
Japan,1.76,"6 March, 1977",0,0,4,0,0,Pyrgos,353049,2,1,3,0,0,Giorgos Karagounis,Greece,12,74,Midfielder,3,Greece
Japan,1.71,"18 August, 1981",0,0,0,0,0,Thessaloniki,349417,1,0,1,0,0,Dimitrios Salpingidis,Greece,1,74,Forward,1,Greece
Japan,1.79,"23 May, 1980",0,0,0,1,1,Larissa,345322,0,0,0,0,3,Theofanis Gekas,Greece,8,72,Forward,3,Greece
Japan,1.93,"26 August, 1981",0,0,0,0,0,Larissa,349077,0,0,0,0,0,Vangelis Moras,Greece,0,78,Defender,0,Greece
Japan,1.84,"5 February, 1981",0,0,0,0,0,Albrechtice,349387,0,0,0,0,0,Loukas Vyntra,Czechoslovakia,0,76,Defender,0,Greece
Japan,1.90,"13 February, 1985",0,0,0,0,0,Katerini,349396,0,0,0,0,0,Alexandros Tziolis,Greece,0,84,Midfielder,0,Greece
Japan,1.82,"19 December, 1986",0,0,0,0,0,Thessaloniki,445051,0,0,0,0,0,Lazaros Christodoulopoulos,Greece,0,77,Midfielder,0,Greece
Japan,1.83,"26 November, 1987",0,0,0,0,0,Athens,445324,0,0,0,0,0,Georgios Tzavelas,Greece,0,80,Defender,0,Greece
Japan,1.94,"15 February, 1991",0,0,0,0,0,Nafplio,492491,0,0,0,0,0,Panagiotis Tachtsidis,Greece,0,86,Midfielder,0,Greece
Japan,1.90,"13 June, 1989",0,0,0,0,0,Patras,541738,0,0,0,0,0,Andreas Samaris,Greece,0,80,Midfielder,0,Greece
Greece,1.85,"20 March, 1983",0,0,0,0,0,Yono,395310,0,0,0,0,0,Eiji Kawashima,Japan,0,82,Goalkeeper,0,Japan
Greece,1.83,"18 June, 1986",0,0,0,0,0,Oita,395037,0,0,0,0,0,Shusaku Nishikawa,Japan,0,81,Goalkeeper,0,Japan
Greece,1.87,"3 March, 1989",0,0,0,0,0,Tokyo,395122,0,0,0,0,0,Shuichi Gonda,Japan,0,85,Goalkeeper,0,Japan
Japan,1.90,"10 October, 1986",0,0,0,0,0,Volos,445071,0,0,0,0,0,Panagiotis Glykos,Greece,0,77,Goalkeeper,0,Greece
Japan,1.96,"18 March, 1994",0,0,0,0,0,Athens,565008,0,0,0,0,0,Stefanos Kapino,Greece,0,81,Goalkeeper,0,Greece
Costa Rica,1.80,"12 November, 1986",0,0,0,0,0,Sant Agata de Goti,373064,1,3,2,0,1,Ignazio Abate,Italy,30,73,Defender,7,Italy
Costa Rica,1.86,"8 May, 1981",0,1,1,0,0,Fiesole,346590,0,0,1,0,0,Andrea Barzagli,Italy,75,79,Defender,12,Italy
Costa Rica,1.92,"14 August, 1984",0,4,5,0,0,Pisa,373065,0,0,2,0,0,Giorgio Chiellini,Italy,66,76,Defender,20,Italy
Costa Rica,1.82,"2 December, 1989",0,0,1,1,1,Legnano,353630,0,1,3,0,1,Matteo Darmian,Italy,38,70,Defender,4,Italy
Costa Rica,1.77,"19 May, 1979",0,0,2,1,1,Brescia,346422,1,1,4,0,0,Andrea Pirlo,Italy,76,68,Midfielder,4,Italy
Costa Rica,1.82,"24 July, 1983",0,0,2,0,0,Rome,346573,0,0,2,0,0,Daniele De Rossi,Italy,97,83,Midfielder,5,Italy
Costa Rica,1.87,"28 August, 1982",0,1,0,0,1,Sao Bernardo,348502,0,0,1,0,0,Thiago Motta,Brazil,31,83,Midfielder,2,Italy
Costa Rica,1.80,"28 February, 1987",0,1,0,1,1,Rome,402360,3,0,0,0,0,Antonio Candreva,Italy,9,72,Midfielder,1,Italy
Costa Rica,1.79,"19 January, 1986",0,0,3,0,0,Turin,396430,0,1,4,0,1,Claudio Marchisio,Italy,23,76,Midfielder,7,Italy
Costa Rica,1.89,"12 August, 1990",0,0,1,2,3,Palermo,435987,0,4,0,0,3,Mario Balotelli,Italy,10,88,Forward,1,Italy
Costa Rica,1.75,"12 July, 1982",0,0,0,1,2,Bari,348402,1,0,3,0,1,Antonio Cassano,Italy,15,78,Forward,0,Italy
Costa Rica,1.77,"23 July, 1987",0,0,0,0,0,Velletri,372472,1,0,0,0,2,Alessio Cerci,Italy,4,78,Forward,0,Italy
Costa Rica,1.63,"4 June, 1991",0,0,0,0,1,Naples,537666,0,0,0,0,2,Lorenzo Insigne,Italy,13,59,Forward,3,Italy
Costa Rica,1.87,"15 February, 1986",0,0,0,0,0,Longchamps,346195,0,0,0,0,0,Gabriel Paletta,Argentina,0,88,Defender,0,Italy
Costa Rica,1.84,"7 July, 1984",0,0,0,0,0,Rome,346703,0,0,0,0,0,Alberto Aquilani,Italy,0,77,Midfielder,0,Italy
Costa Rica,1.90,"1 May, 1987",0,0,0,0,0,Viterbo,375405,0,0,0,0,0,Leonardo Bonucci,Italy,0,82,Defender,0,Italy
Costa Rica,1.84,"20 February, 1990",0,0,0,0,0,Torre Annunziata,489160,0,0,0,0,0,Ciro Immobile,Italy,0,78,Forward,0,Italy
Costa Rica,1.86,"25 January, 1985",0,0,0,0,0,Gallarate,514025,0,0,0,0,0,Marco Parolo,Italy,0,82,Midfielder,0,Italy
Costa Rica,1.68,"5 November, 1992",0,0,0,0,0,Pescara,558287,0,0,0,0,0,Marco Verratti,Italy,0,60,Midfielder,0,Italy
Costa Rica,1.79,"20 October, 1992",0,0,0,0,0,Milan,615000,0,0,0,0,0,Mattia De Sciglio,Italy,0,74,Defender,0,Italy
Italy,1.75,"24 October, 1989",0,0,3,0,0,Liberia,583761,0,1,1,0,0,Cristian Gamboa,Costa Rica,22,67,Defender,3,Costa Rica
Italy,1.84,"3 June, 1989",0,2,3,0,1,Masaya,596442,1,1,1,0,0,Óscar Duarte,Nicaragua,25,85,Defender,4,Costa Rica
Italy,1.92,"8 February, 1988",0,1,4,0,1,San Jose,390272,0,1,2,0,0,Giancarlo González,Costa Rica,20,83,Defender,13,Costa Rica
Italy,1.80,"16 July, 1982",0,2,5,0,0,Santa Ana,322588,0,1,0,0,0,Michael Umana,Costa Rica,31,73,Defender,3,Costa Rica
Italy,1.85,"12 September, 1983",1,4,6,0,0,San Jose,372583,3,2,3,0,0,Júnior Díaz,Costa Rica,34,76,Defender,6,Costa Rica
Italy,1.87,"18 August, 1985",0,1,1,2,2,Alajuela,346902,1,5,0,1,0,Bryan Ruiz,Costa Rica,30,79,Forward,4,Costa Rica
Italy,1.84,"27 May, 1988",0,0,0,1,2,San Jose,390305,1,0,0,0,0,Celso Borges,Costa Rica,38,82,Midfielder,9,Costa Rica
Italy,1.79,"17 March, 1992",0,0,5,0,0,Limon,604444,1,2,0,0,0,Yeltsin Tejeda,Costa Rica,28,66,Midfielder,3,Costa Rica
Italy,1.78,"17 May, 1984",0,0,1,2,2,San Jose,358846,0,6,2,0,1,Christian Bolanos,Costa Rica,35,67,Midfielder,3,Costa Rica
Italy,1.78,"26 June, 1992",0,0,1,0,0,San Jose,604434,2,1,1,0,2,Joel Campbell,Costa Rica,12,69,Forward,2,Costa Rica
Italy,1.70,"13 August, 1983",0,0,0,0,1,San Jose,358943,0,1,0,0,0,Randall Brenes,Costa Rica,4,72,Forward,1,Costa Rica
Italy,1.79,"5 March, 1990",0,0,0,1,1,San Jose,583756,0,2,0,0,0,Marco Urena,Costa Rica,1,70,Forward,1,Costa Rica
Italy,1.78,"14 February, 1987",0,0,2,0,0,Sarchi,390295,0,1,0,0,0,José Cubero,Costa Rica,6,70,Midfielder,1,Costa Rica
Italy,1.89,"24 November, 1984",0,0,0,0,0,San Jose,358942,0,0,0,0,0,Roy Miller,Costa Rica,0,77,Defender,0,Costa Rica
Italy,1.77,"4 October, 1983",0,0,0,0,0,San Jose,385942,0,0,0,0,0,Michael Barrantes,Costa Rica,0,71,Midfielder,0,Costa Rica
Italy,1.85,"1 June, 1988",0,0,0,0,0,Puerto Viejo Limon,390270,0,0,0,0,0,Dave Myrie,Costa Rica,0,79,Defender,0,Costa Rica
Italy,1.83,"25 October, 1985",0,0,0,0,0,Cartago,499531,0,0,0,0,0,Esteban Granados,Costa Rica,0,74,Midfielder,0,Costa Rica
Italy,1.75,"21 July, 1983",0,0,0,0,0,Alajuela,596441,0,0,0,0,0,Johnny Acosta,Costa Rica,0,78,Defender,0,Costa Rica
Italy,1.78,"25 March, 1991",0,0,0,0,0,San Jose,604437,0,0,0,0,0,Diego Calvo,Costa Rica,0,71,Midfielder,0,Costa Rica
Italy,1.75,"20 September, 1990",0,0,0,0,0,Limon,660520,0,0,0,0,0,Waylon Francis,Costa Rica,0,73,Defender,0,Costa Rica
Costa Rica,1.90,"28 January, 1978",0,0,0,0,0,Carrara,360304,0,0,0,0,0,Gianluigi Buffon,Italy,0,83,Goalkeeper,0,Italy
Costa Rica,1.90,"12 January, 1987",0,0,0,0,0,Nuoro,346769,0,0,0,0,0,Salvatore Sirigu,Italy,0,80,Goalkeeper,0,Italy
Costa Rica,1.88,"10 November, 1992",0,0,0,0,0,Latina,513642,0,0,0,0,0,Mattia Perin,Italy,0,74,Goalkeeper,0,Italy
Italy,1.78,"24 April, 1982",0,0,0,0,0,Limon,375970,0,0,0,0,0,Patrick Pemberton,Costa Rica,0,80,Goalkeeper,0,Costa Rica
Italy,1.81,"8 January, 1986",0,0,0,0,0,Costa Rica,499528,0,0,0,0,0,Daniel Cambronero,Costa Rica,0,71,Goalkeeper,0,Costa Rica
France,1.92,"18 January, 1987",0,2,1,0,0,Abidjan,346236,0,2,0,0,0,Johan Djourou,Ivory Coast,52,87,Defender,4,Switzerland
France,1.83,"10 June, 1983",0,0,0,0,0,Schattenhalb,401315,0,0,1,0,0,Steve Von Bergen,Switzerland,2,79,Defender,0,Switzerland
France,1.80,"25 August, 1992",0,0,0,1,1,Zurich,518541,1,1,1,0,0,Ricardo Rodríguez,Switzerland,56,72,Defender,8,Switzerland
France,1.84,"19 April, 1985",0,0,1,0,0,Mitrovica,346358,0,0,0,0,0,Valon Behrami,Yugoslavia,13,78,Midfielder,3,Switzerland
France,1.81,"27 June, 1984",1,1,0,1,2,Olten,402362,1,2,3,0,0,Gokhan Inler,Switzerland,63,80,Midfielder,10,Switzerland
France,1.69,"10 October, 1991",0,0,2,2,4,Gnjilane,508003,4,2,2,0,0,Xherdan Shaqiri,Yugoslavia,35,72,Midfielder,3,Switzerland
France,1.83,"27 September, 1992",0,0,0,2,4,Basel,552969,0,1,1,1,1,Granit Xhaka,Switzerland,34,82,Midfielder,0,Switzerland
France,1.83,"16 March, 1991",0,0,0,1,2,Gostivar,457113,1,0,4,0,0,Admir Mehmedi,Yugoslavia,35,76,Forward,2,Switzerland
France,1.87,"22 February, 1992",0,0,0,0,2,Sursee,538348,0,1,0,0,0,Haris Seferovic,Switzerland,15,83,Forward,0,Switzerland
France,1.90,"14 February, 1985",0,1,0,0,0,Geneva,346122,0,0,0,0,0,Philippe Senderos,Switzerland,57,84,Defender,3,Switzerland
France,1.79,"12 April, 1986",0,0,3,1,2,Tetovo,360062,0,2,1,1,0,Blerim Dzemaili,Yugoslavia,41,73,Midfielder,1,Switzerland
France,1.82,"8 August, 1992",0,0,0,0,0,Freienbach,602354,0,0,0,0,0,Josip Drmic,Switzerland,2,70,Forward,0,Switzerland
France,1.78,"22 May, 1985",0,0,0,0,0,St Gallen,345642,0,0,0,0,0,Tranquillo Barnetta,Switzerland,0,68,Midfielder,0,Switzerland
France,1.83,"16 January, 1986",0,0,0,0,0,Nyon,346182,0,0,0,0,0,Reto Ziegler,Switzerland,0,80,Defender,0,Switzerland
France,1.79,"2 September, 1986",0,0,0,0,0,Praia,395615,0,0,0,0,0,Gelson Fernandes,Cape Verde,0,70,Midfielder,0,Switzerland
France,1.85,"8 February, 1991",0,0,0,0,0,Egnach,402305,0,0,0,0,0,Michael Lang,Switzerland,0,79,Defender,0,Switzerland
France,1.79,"12 April, 1989",0,0,0,0,0,Kriens,402366,0,0,0,0,0,Valentin Stocker,Switzerland,0,73,Midfielder,0,Switzerland
France,1.75,"24 November, 1989",0,0,0,0,0,Lugano,507387,0,0,0,0,0,Mario Gavranovic,Switzerland,0,74,Forward,0,Switzerland
France,1.86,"20 December, 1991",0,0,0,0,0,Wil,660387,0,0,0,0,0,Fabian Schar,Switzerland,0,85,Defender,0,Switzerland
Switzerland,1.78,"28 July, 1985",0,1,2,0,0,Fretin,347705,1,4,0,0,1,Mathieu Debuchy,France,27,78,Defender,6,France
Switzerland,1.91,"25 April, 1993",0,0,0,0,0,Lille,572654,0,0,0,0,0,Raphael Varane,France,28,78,Defender,7,France
Switzerland,1.86,"13 February, 1990",0,2,0,0,0,Paris,377035,0,0,0,0,0,Mamadou Sakho,France,30,74,Defender,2,France
Switzerland,1.71,"15 May, 1981",0,0,0,0,1,Dakar,346097,0,0,0,0,0,Patrice Evra,Senegal,33,76,Defender,4,France
Switzerland,1.75,"14 January, 1986",0,1,0,0,2,Tourcoing,347716,0,2,3,0,0,Yohan Cabaye,France,34,72,Midfielder,7,France
Switzerland,1.67,"28 September, 1984",1,0,0,3,3,Bruges,347887,2,3,0,1,0,Mathieu Valbuena,France,28,58,Midfielder,4,France
Switzerland,1.87,"16 August, 1989",0,0,1,1,1,Le Blanc-Mesnil,397904,3,2,0,1,0,Moussa Sissoko,France,24,88,Midfielder,1,France
Switzerland,1.75,"9 April, 1987",0,1,1,3,3,Toulouse,347763,0,1,2,1,0,Blaise Matuidi,France,36,70,Midfielder,10,France
Switzerland,1.85,"19 December, 1987",2,0,0,7,8,Lyon,347725,2,0,4,1,1,Karim Benzema,France,26,79,Forward,2,France
Switzerland,1.92,"30 September, 1986",1,1,0,2,4,Chambery,440565,1,2,1,1,0,Olivier Giroud,France,14,88,Forward,0,France
Switzerland,1.85,"10 September, 1985",0,1,0,0,0,Tulle,459434,0,1,0,0,0,Laurent Koscielny,France,7,75,Defender,0,France
Switzerland,1.92,"15 March, 1993",1,0,0,0,0,Lagny-sur-Marne,588585,2,1,1,0,0,Paul Pogba,France,12,80,Midfielder,1,France
Switzerland,1.75,"21 March, 1991",0,0,0,0,0,Macon,524262,0,0,1,0,0,Antoine Griezmann,France,5,68,Forward,0,France
Switzerland,1.72,"8 March, 1984",0,0,0,0,0,Born at sea,347649,0,0,0,0,0,Rio Mavuba,Angola,0,74,Midfielder,0,France
Switzerland,1.75,"14 February, 1983",0,0,0,0,0,Sens,347680,0,0,0,0,0,Bacary Sagna,France,0,72,Defender,0,France
Switzerland,1.85,"2 January, 1987",0,0,0,0,0,Rillieux-la-Pape,347919,0,0,0,0,0,Loic Remy,France,0,82,Forward,0,France
Switzerland,1.81,"8 November, 1989",0,0,0,0,0,Zellwiller,394208,0,0,0,0,0,Morgan Schneiderlin,France,0,75,Midfielder,0,France
Switzerland,1.88,"13 February, 1991",0,0,0,0,0,Paris,479948,0,0,0,0,0,Eliaquim Mangala,France,0,81,Defender,0,France
Switzerland,1.72,"8 March, 1990",0,0,0,0,0,Ajaccio,508852,0,0,0,0,0,Remy Cabella,France,0,66,Forward,0,France
Switzerland,1.79,"20 July, 1993",0,0,0,0,0,Meaux,558151,0,0,0,0,0,Lucas Digne,France,0,74,Defender,0,France
France,1.95,"8 September, 1983",0,0,0,0,0,Zurich,370693,0,0,0,0,0,Diego Benaglio,Switzerland,0,83,Goalkeeper,0,Switzerland
France,1.83,"17 December, 1988",0,0,0,0,0,Morges,349443,0,0,0,0,0,Yann Sommer,Switzerland,0,79,Goalkeeper,0,Switzerland
France,1.88,"14 November, 1990",0,0,0,0,0,Munsingen,457102,0,0,0,0,0,Roman Burki,Switzerland,0,83,Goalkeeper,0,Switzerland
Switzerland,1.84,"14 May, 1979",0,0,0,0,0,Machecoul,347486,0,0,0,0,0,Mickael Landreau,France,0,85,Goalkeeper,0,France
Switzerland,1.88,"27 September, 1986",0,0,0,0,0,Bayonne,350484,0,0,0,0,0,Stephane Ruffier,France,0,90,Goalkeeper,0,France
Ecuador,1.86,"28 November, 1985",1,0,3,1,1,La Ceiba,596331,3,0,1,0,0,Brayan Beckeles,Honduras,16,80,Defender,3,Honduras
Ecuador,1.87,"24 May, 1982",0,0,1,1,2,La Ceiba,457705,0,3,1,0,0,Victor Bernárdez,Honduras,16,86,Defender,2,Honduras
Ecuador,1.84,"2 May, 1983",0,1,2,0,2,Jutiapa,358879,0,1,1,0,0,Maynor Figueroa,Honduras,36,82,Defender,5,Honduras
Ecuador,1.77,"10 May, 1986",0,0,1,0,0,Tegucigalpa,363591,1,1,0,0,0,Emilio Izaguirre,Honduras,12,77,Midfielder,1,Honduras
Ecuador,1.76,"8 January, 1986",0,0,6,0,1,Choloma,386041,0,0,2,0,0,Jorge Claros,Honduras,48,70,Midfielder,2,Honduras
Ecuador,1.70,"5 November, 1990",0,0,1,0,0,Juticalpa,650765,1,0,1,0,0,Luis Garrido,Honduras,28,73,Midfielder,3,Honduras
Ecuador,1.76,"4 September, 1984",0,0,0,1,1,Tegucigalpa,358947,1,1,3,0,0,Boniek García,Honduras,25,72,Midfielder,0,Honduras
Ecuador,1.80,"25 October, 1986",0,0,2,2,3,Puerto Cortes,439302,1,2,0,0,0,Roger Espinoza,Honduras,34,73,Midfielder,1,Honduras
Ecuador,1.87,"8 April, 1987",0,0,2,1,1,Santa Rosa de Aguan,544490,1,2,1,0,0,Jerry Bengtson,Honduras,11,75,Forward,0,Honduras
Ecuador,1.90,"18 July, 1982",0,0,0,1,3,San Pedro Sula,491194,1,5,1,1,1,Carlo Costly,Honduras,11,85,Forward,0,Honduras
Ecuador,1.75,"8 March, 1988",0,3,2,0,0,Tela,504480,0,0,3,0,0,Juan Carlos García,Honduras,22,76,Defender,1,Honduras
Ecuador,1.73,"30 July, 1989",0,0,0,2,2,San Pedro Sula,461719,0,0,1,0,0,Mario Martínez,Honduras,11,70,Midfielder,0,Honduras
Ecuador,1.56,"3 November, 1983",0,0,0,0,0,La Ceiba,500102,0,0,0,0,0,Marvin Chávez,Honduras,2,66,Midfielder,0,Honduras
Ecuador,1.87,"29 July, 1984",0,0,0,0,0,Santa Fe,457707,0,0,0,0,0,Osman Chávez,Honduras,0,91,Defender,0,Honduras
Ecuador,1.79,"20 November, 1986",0,0,0,0,0,San Manuel,504521,0,0,0,0,0,Edder Delgado,Honduras,0,70,Midfielder,0,Honduras
Ecuador,1.81,"13 May, 1982",0,0,0,0,0,La Ceiba,526954,0,0,0,0,0,Jerry Palacios,Honduras,0,81,Midfielder,0,Honduras
Ecuador,1.70,"16 March, 1993",0,0,0,0,0,Choluteca,542293,0,0,0,0,0,Andy Najar,Honduras,0,67,Midfielder,0,Honduras
Ecuador,1.96,"26 December, 1985",0,0,0,0,0,Sulaco,724862,0,0,0,0,0,Juan Montes,Honduras,0,75,Defender,0,Honduras
Ecuador,1.71,"16 October, 1987",0,0,0,0,0,Olanchito,736396,0,0,0,0,0,Rony Martínez,Honduras,0,75,Forward,0,Honduras
Honduras,1.79,"8 July, 1987",1,1,2,0,0,Esmeraldas,490995,5,0,4,0,0,Juan Paredes,Ecuador,26,72,Defender,5,Ecuador
Honduras,1.79,"28 September, 1981",0,0,0,0,0,Esmeraldas,363468,0,1,1,0,0,Jorge Guagua,Ecuador,21,75,Defender,4,Ecuador
Honduras,1.89,"5 May, 1988",0,0,1,0,1,Esmeraldas,490600,0,1,0,0,0,Frickson Erazo,Ecuador,26,65,Defender,3,Ecuador
Honduras,1.73,"11 August, 1979",1,1,0,0,1,Esmeraldas,363473,5,0,0,0,0,Walter Ayoví,Ecuador,48,68,Midfielder,5,Ecuador
Honduras,1.80,"4 August, 1985",0,0,1,0,0,Nueva Loja,345938,3,5,0,0,0,Antonio Valencia,Ecuador,21,78,Midfielder,0,Ecuador
Honduras,1.81,"9 April, 1985",0,1,4,1,1,Guayaquil,504629,2,4,0,0,0,Cristhian Noboa,Ecuador,34,75,Midfielder,7,Ecuador
Honduras,1.83,"26 July, 1983",0,1,3,0,0,Pasaje,373114,0,0,0,0,0,Oswaldo Minda,Ecuador,38,78,Midfielder,9,Ecuador
Honduras,1.70,"1 September, 1989",0,0,1,0,0,Babahoyo,505420,1,3,1,0,0,Jefferson Montero,Ecuador,29,64,Midfielder,4,Ecuador
Honduras,1.83,"5 September, 1988",0,0,2,1,1,Guayaquil,402045,0,0,1,0,0,Felipe Caicedo,Ecuador,18,80,Forward,2,Ecuador
Honduras,1.79,"4 November, 1989",0,0,0,3,4,San Lorenzo,537827,0,3,5,2,1,Enner Valencia,Ecuador,19,68,Forward,2,Ecuador
Honduras,1.83,"24 March, 1985",0,0,0,0,0,Machala,510647,0,0,0,0,0,Gabriel Achilier,Ecuador,0,83,Defender,0,Ecuador
Honduras,1.71,"19 April, 1995",0,0,0,0,0,Santo Domingo,688883,0,0,0,0,0,Carlos Gruezo,Ecuador,1,67,Midfielder,0,Ecuador
Honduras,1.75,"16 March, 1979",0,0,0,0,0,Quito,347949,0,0,0,0,0,Edison Méndez,Ecuador,4,68,Midfielder,0,Ecuador
Honduras,1.75,"20 October, 1983",0,0,0,0,0,Loja,372560,0,0,0,0,0,Luis Saritama,Ecuador,0,76,Midfielder,0,Ecuador
Honduras,1.70,"10 December, 1982",0,0,0,0,0,Esmeraldas,374579,0,0,0,0,0,Óscar Bagüí,Ecuador,0,65,Defender,0,Ecuador
Honduras,1.78,"23 April, 1987",0,0,0,0,0,Guayaquil,387218,0,0,0,0,0,Michael Arroyo,Ecuador,0,72,Midfielder,0,Ecuador
Honduras,1.86,"21 February, 1988",0,0,0,0,0,Eloy Alfaro,387226,0,0,0,0,0,Jaime Ayoví,Ecuador,0,61,Forward,0,Ecuador
Honduras,1.73,"14 June, 1989",0,0,0,0,0,La Troncal,510665,0,0,0,0,0,Joao Rojas,Ecuador,0,68,Forward,0,Ecuador
Honduras,1.76,"15 February, 1990",0,0,0,0,0,Sucumbios,557536,0,0,0,0,0,Fidel Martínez,Ecuador,0,67,Midfielder,0,Ecuador
Honduras,1.71,"20 January, 1991",0,0,0,0,0,Ambuqui,605529,0,0,0,0,0,Álex Ibarra,Ecuador,0,70,Midfielder,0,Ecuador
Ecuador,1.78,"3 May, 1977",0,0,0,0,0,Comayagua,363537,0,0,0,0,0,Noel Valladares,Honduras,0,80,Goalkeeper,0,Honduras
Ecuador,1.80,"3 February, 1981",0,0,0,0,0,San Ignacio,504478,0,0,0,0,0,Donis Escober,Honduras,0,75,Goalkeeper,0,Honduras
Ecuador,1.82,"13 September, 1993",0,0,0,0,0,San Pedro Sula,826222,0,0,0,0,0,Luis López,Honduras,0,75,Goalkeeper,0,Honduras
Honduras,1.87,"16 December, 1985",0,0,0,0,0,Guayaquil,554701,0,0,0,0,0,Máximo Banguera,Ecuador,0,84,Goalkeeper,0,Ecuador
Honduras,1.88,"8 September, 1988",0,0,0,0,0,Esmeraldas,586284,0,0,0,0,0,Adrián Bone,Ecuador,0,76,Goalkeeper,0,Ecuador
Iran,1.74,"16 January, 1985",0,1,0,0,1,Buenos Aires,348661,5,3,0,0,0,Pablo Zabaleta,Argentina,48,74,Defender,7,Argentina
Iran,1.90,"21 February, 1989",0,0,1,0,1,Tres Algarrobos,457756,0,1,3,0,0,Fede Fernández,Argentina,41,81,Defender,4,Argentina
Iran,1.86,"10 October, 1986",0,0,0,0,2,Rosario,348765,0,0,1,0,0,Ezequiel Garay,Argentina,33,85,Defender,8,Argentina
Iran,1.89,"20 March, 1990",0,0,2,0,2,La Plata,492564,8,2,2,0,0,Marcos Rojo,Argentina,48,82,Defender,9,Argentina
Iran,1.78,"10 April, 1986",0,0,3,0,0,Ciudadela,374090,2,2,4,0,0,Fernando Gago,Argentina,106,72,Midfielder,7,Argentina
Iran,1.71,"8 June, 1984",0,1,3,0,0,San Lorenzo,346143,0,0,1,0,0,Javier Mascherano,Argentina,103,74,Midfielder,9,Argentina
Iran,1.78,"14 February, 1988",0,0,1,3,4,Rosario,359948,15,0,2,0,0,Ángel Di María,Argentina,40,70,Midfielder,6,Argentina
Iran,1.69,"24 June, 1987",0,0,0,3,6,Rosario,348767,1,0,1,1,0,Lionel Messi,Argentina,42,67,Forward,1,Argentina
Iran,1.84,"10 December, 1987",0,0,0,1,1,Brest,356019,1,0,0,0,0,Gonzalo Higuaín,France,10,82,Forward,0,Argentina
Iran,1.72,"2 June, 1988",0,0,0,1,1,Quilmes,348656,3,0,0,0,0,Sergio Agüero,Argentina,12,69,Forward,0,Argentina
Iran,1.75,"30 January, 1986",0,0,0,0,0,Mercedes,347118,0,0,0,0,0,Lucas Biglia,Argentina,1,74,Midfielder,0,Argentina
Iran,1.75,"5 February, 1982",0,0,0,1,1,Bahia Blanca,372953,2,0,0,0,0,Rodrigo Palacio,Argentina,3,70,Forward,0,Argentina
Iran,1.73,"3 May, 1985",1,0,0,0,0,Villa Gobernador Galvez,372986,4,0,0,0,0,Ezequiel Lavezzi,Argentina,6,75,Forward,1,Argentina
Iran,1.84,"20 December, 1980",0,0,0,0,0,Justiniano Posse,345565,0,0,0,0,0,Martín Demichelis,Argentina,0,81,Defender,0,Argentina
