nome,adversario,Altura,Cartões Amarelos,Assistências,Assistências - Média,Bloqueios,Bloqueios - Média,Carrinhos,Carrinhos - Média,Chutes Certos,Chutes Certos - Média,Chutes ao gol,Chutes ao gol - Média,Cruzamentos,Cruzamentos - Média,Faltas Cometidas,Faltas Cometidas - Média,Faltas Sofridas,Faltas Sofridas - Média,Gols,Gols - Média,Impedimentos,Impedimentos - Média,Jogos,Passes,Passes - Média,Peso,posicao,Roubadas,Roubadas - Média,time,Cartões Vermelhos,Chutes convertidos em gols (%),Acerto de chutes (%),Idade
Miroslav Klose,Portugal,1.82,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,84,Forward,0,0.0,Alemanha,0.0,inf,inf,36
Miroslav Klose,Argélia,1.82,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,84,Forward,0,0.0,Alemanha,0.0,inf,inf,36
Miroslav Klose,França,1.82,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0.0,9,0.0,84,Forward,3,0.0,Alemanha,0.0,inf,inf,36
Jermaine Jones,Gana,1.84,1.0,1,0.0,3,0.0,4,0.0,1,0.0,1,0.0,0,0.0,3,0.0,3,0.0,0,0.0,0,0.0,0.0,19,0.0,78,Midfielder,5,0.0,Estados Unidos,0.0,0.0,1.0,32
Jermaine Jones,Portugal,1.84,1.0,0,0.0,2,0.0,2,0.0,3,0.0,3,0.0,0,0.0,2,0.0,2,0.0,1,0.0,0,0.0,0.0,37,0.0,78,Midfielder,5,0.0,Estados Unidos,0.0,0.3333333333333333,1.0,32
Jermaine Jones,Alemanha,1.84,1.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,2,0.0,3,0.0,0,0.0,0,0.0,0.0,27,0.0,78,Midfielder,2,0.0,Estados Unidos,0.0,inf,inf,32
Jermaine Jones,Bélgica,1.84,1.0,0,0.0,0,0.0,0,0.0,2,0.0,6,0.0,3,0.0,1,0.0,3,0.0,0,0.0,0,0.0,0.0,24,0.0,78,Midfielder,3,0.0,Estados Unidos,0.0,0.0,0.3333333333333333,32
Daniel Van Buyten,Coreia,1.96,0.0,0,0.0,3,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0.0,27,0.0,95,Defender,8,0.0,Bélgica,0.0,0.0,1.0,36
Daniel Van Buyten,Rússia,1.96,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,48,0.0,95,Defender,15,0.0,Bélgica,0.0,inf,inf,36
Daniel Van Buyten,Argélia,1.96,0.0,0,0.0,0,0.0,1,0.0,1,0.0,2,0.0,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0.0,83,0.0,95,Defender,27,0.0,Bélgica,0.0,0.0,0.5,36
Daniel Van Buyten,Estados Unidos,1.96,0.0,0,0.0,1,0.0,0,0.0,1,0.0,2,0.0,0,0.0,1,0.0,2,0.0,0,0.0,0,0.0,0.0,37,0.0,95,Defender,10,0.0,Bélgica,0.0,0.0,0.5,36
Bastian Schweinsteiger,Gana,1.83,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,1,0.0,0,0.0,3,0.0,0,0.0,0,0.0,0.0,26,0.0,79,Midfielder,1,0.0,Alemanha,0.0,0.0,0.0,29
Bastian Schweinsteiger,Portugal,1.83,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,79,Midfielder,0,0.0,Alemanha,0.0,inf,inf,29
Bastian Schweinsteiger,Estados Unidos,1.83,1.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,2,0.0,2,0.0,5,0.0,0,0.0,0,0.0,0.0,76,0.0,79,Midfielder,4,0.0,Alemanha,0.0,0.0,1.0,29
Bastian Schweinsteiger,Argélia,1.83,1.0,0,0.0,1,0.0,3,0.0,2,0.0,3,0.0,1,0.0,3,0.0,2,0.0,0,0.0,0,0.0,0.0,86,0.0,79,Midfielder,8,0.0,Alemanha,0.0,0.0,0.6666666666666666,29
Bastian Schweinsteiger,França,1.83,1.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.0,1,0.0,0,0.0,0,0.0,0.0,36,0.0,79,Midfielder,8,0.0,Alemanha,0.0,inf,inf,29
Nigel De Jong,México,1.74,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,0.0,72,Midfielder,1,0.0,Holanda,0.0,inf,inf,29
Nigel De Jong,Chile,1.74,0.0,0,0.0,0,0.0,6,0.0,0,0.0,0,0.0,0,0.0,5,0.0,2,0.0,0,0.0,0,0.0,0.0,25,0.0,72,Midfielder,11,0.0,Holanda,0.0,inf,inf,29
Nigel De Jong,Espanha,1.74,0.0,0,0.0,0,0.0,2,0.0,1,0.0,1,0.0,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0.0,32,0.0,72,Midfielder,7,0.0,Holanda,0.0,0.0,1.0,29
Nigel De Jong,Austrália,1.74,0.0,0,0.0,0,0.0,4,0.0,1,0.0,1,0.0,0,0.0,2,0.0,1,0.0,0,0.0,0,0.0,0.0,27,0.0,72,Midfielder,16,0.0,Holanda,0.0,0.0,1.0,29
Martín Demichelis,Irã,1.84,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,81,Defender,0,0.0,Argentina,0.0,inf,inf,33
Martín Demichelis,Nigéria,1.84,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,81,Defender,0,0.0,Argentina,0.0,inf,inf,33
Martín Demichelis,Bósnia,1.84,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,81,Defender,0,0.0,Argentina,0.0,inf,inf,33
Martín Demichelis,Suíça,1.84,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,81,Defender,0,0.0,Argentina,0.0,inf,inf,33
Zvjezdan Misimovic,Irã,1.80,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,80,Midfielder,0,0.0,Bósnia,0.0,inf,inf,32
Zvjezdan Misimovic,Argentina,1.80,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.0,2,0.0,0,0.0,3,0.0,0,0.0,0,0.0,0.0,27,0.0,80,Midfielder,1,0.0,Bósnia,0.0,0.0,1.0,32
Zvjezdan Misimovic,Nigéria,1.80,0.0,0,0.0,0,0.0,2,0.0,0,0.0,2,0.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,40,0.0,80,Midfielder,4,0.0,Bósnia,0.0,0.0,0.0,32
Philipp Lahm,Estados Unidos,1.70,1.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.0,2,0.0,0,0.0,0,0.0,0.0,110,0.0,66,Midfielder,7,0.0,Alemanha,0.0,inf,inf,30
Philipp Lahm,Gana,1.70,1.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0.0,75,0.0,66,Midfielder,6,0.0,Alemanha,0.0,inf,inf,30
Philipp Lahm,Portugal,1.70,1.0,0,0.0,0,0.0,3,0.0,1,0.0,1,0.0,1,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0.0,59,0.0,66,Midfielder,11,0.0,Alemanha,0.0,0.0,1.0,30
Philipp Lahm,Argélia,1.70,1.0,0,0.0,1,0.0,1,0.0,2,0.0,2,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,84,0.0,66,Midfielder,14,0.0,Alemanha,0.0,0.0,1.0,30
Philipp Lahm,França,1.70,1.0,0,0.0,3,0.0,0,0.0,0,0.0,0,0.0,2,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,44,0.0,66,Midfielder,8,0.0,Alemanha,0.0,inf,inf,30
Per Mertesacker,Gana,1.98,0.0,0,0.0,2,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,67,0.0,90,Defender,8,0.0,Alemanha,0.0,inf,inf,29
Per Mertesacker,Portugal,1.98,0.0,0,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0.0,28,0.0,90,Defender,5,0.0,Alemanha,0.0,inf,inf,29
Per Mertesacker,Estados Unidos,1.98,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,108,0.0,90,Defender,12,0.0,Alemanha,0.0,inf,inf,29
Per Mertesacker,Argélia,1.98,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,3,0.0,0,0.0,0,0.0,0.0,87,0.0,90,Defender,25,0.0,Alemanha,0.0,inf,inf,29
Per Mertesacker,França,1.98,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,90,Defender,0,0.0,Alemanha,0.0,inf,inf,29
Lukas Podolski,Estados Unidos,1.80,0.0,0,0.0,0,0.0,1,0.0,0,0.0,2,0.0,2,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0.0,20,0.0,83,Forward,2,0.0,Alemanha,0.0,0.0,0.0,29
Lukas Podolski,Gana,1.80,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,83,Forward,0,0.0,Alemanha,0.0,inf,inf,29
Lukas Podolski,Portugal,1.80,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,3,0.0,83,Forward,0,0.0,Alemanha,0.0,inf,inf,29
Lukas Podolski,Argélia,1.80,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,83,Forward,0,0.0,Alemanha,0.0,inf,inf,29
Lukas Podolski,França,1.80,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,83,Forward,0,0.0,Alemanha,0.0,inf,inf,29
Tranquillo Barnetta,Honduras,1.78,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,68,Midfielder,0,0.0,Suíça,0.0,inf,inf,29
Tranquillo Barnetta,França,1.78,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,68,Midfielder,0,0.0,Suíça,0.0,inf,inf,29
Tranquillo Barnetta,Equador,1.78,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,68,Midfielder,0,0.0,Suíça,0.0,inf,inf,29
Tranquillo Barnetta,Argentina,1.78,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,68,Midfielder,0,0.0,Suíça,0.0,inf,inf,29
Arthur Boka,Colômbia,1.66,0.0,0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,5,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,28,0.0,67,Defender,6,0.0,C. Marfim,0.0,inf,inf,31
Arthur Boka,Grécia,1.66,0.0,0,0.0,2,0.0,2,0.0,1,0.0,1,0.0,3,0.0,2,0.0,1,0.0,0,0.0,0,0.0,0.0,41,0.0,67,Defender,11,0.0,C. Marfim,0.0,0.0,1.0,31
Arthur Boka,Japão,1.66,0.0,0,0.0,0,0.0,1,0.0,2,0.0,3,0.0,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0.0,29,0.0,67,Defender,2,0.0,C. Marfim,0.0,0.0,0.6666666666666666,31
Vedad Ibisevic,Nigéria,1.89,0.0,0,0.0,0,0.0,1,0.0,2,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7,0.0,82,Forward,0,0.0,Bósnia,0.0,0.0,0.6666666666666666,29
Vedad Ibisevic,Irã,1.89,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0.0,15,0.0,82,Forward,1,0.0,Bósnia,0.0,0.0,0.0,29
Vedad Ibisevic,Argentina,1.89,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0.0,7,0.0,82,Forward,1,0.0,Bósnia,0.0,1.0,1.0,29
Ashkan Dejagah,Bósnia,1.82,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,6,0.0,1,0.0,1,0.0,0,0.0,3,0.0,0.0,14,0.0,79,Forward,2,0.0,Irã,0.0,inf,inf,27
Ashkan Dejagah,Argentina,1.82,0.0,0,0.0,0,0.0,2,0.0,1,0.0,1,0.0,3,0.0,1,0.0,2,0.0,0,0.0,1,0.0,0.0,12,0.0,79,Forward,6,0.0,Irã,0.0,0.0,1.0,27
Ashkan Dejagah,Nigéria,1.82,0.0,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,1,0.0,1,0.0,3,0.0,0,0.0,1,0.0,0.0,12,0.0,79,Forward,4,0.0,Irã,0.0,inf,inf,27
Manuel Neuer,Gana,1.93,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,92,Goalkeeper,0,0.0,Alemanha,0.0,inf,inf,28
Manuel Neuer,Portugal,1.93,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,92,Goalkeeper,0,0.0,Alemanha,0.0,inf,inf,28
Manuel Neuer,Argélia,1.93,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,92,Goalkeeper,0,0.0,Alemanha,0.0,inf,inf,28
Kevin-Prince Boateng,Alemanha,1.82,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0.0,15,0.0,86,Forward,0,0.0,Gana,0.0,0.0,0.0,27
Kevin-Prince Boateng,Estados Unidos,1.82,0.0,0,0.0,1,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0.0,12,0.0,86,Forward,0,0.0,Gana,0.0,0.0,0.0,27
Mesut Özil,Gana,1.80,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,8,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0.0,38,0.0,76,Midfielder,2,0.0,Alemanha,0.0,inf,inf,25
Mesut Özil,Portugal,1.80,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.0,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0.0,27,0.0,76,Midfielder,1,0.0,Alemanha,0.0,0.0,1.0,25
Mesut Özil,Estados Unidos,1.80,0.0,0,0.0,0,0.0,1,0.0,1,0.0,2,0.0,1,0.0,1,0.0,1,0.0,0,0.0,1,0.0,0.0,54,0.0,76,Midfielder,5,0.0,Alemanha,0.0,0.0,0.5,25
Mesut Özil,Argélia,1.80,0.0,0,0.0,0,0.0,0,0.0,3,0.0,3,0.0,3,0.0,1,0.0,3,0.0,1,0.0,1,0.0,0.0,53,0.0,76,Midfielder,2,0.0,Alemanha,0.0,0.3333333333333333,1.0,25
Mesut Özil,França,1.80,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,17,0.0,76,Midfielder,1,0.0,Alemanha,0.0,inf,inf,25
Hugo Almeida,Alemanha,1.93,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0.0,4,0.0,86,Forward,0,0.0,Portugal,0.0,0.0,1.0,30
Vincent Kompany,Rússia,1.90,1.0,0,0.0,2,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,41,0.0,85,Defender,13,0.0,Bélgica,0.0,inf,inf,28
Vincent Kompany,Argélia,1.90,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,67,0.0,85,Defender,7,0.0,Bélgica,0.0,inf,inf,28
Vincent Kompany,Estados Unidos,1.90,1.0,0,0.0,3,0.0,1,0.0,1,0.0,1,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0.0,35,0.0,85,Defender,10,0.0,Bélgica,0.0,0.0,1.0,28
Sami Khedira,Estados Unidos,1.89,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,85,Midfielder,0,0.0,Alemanha,0.0,inf,inf,27
Sami Khedira,Gana,1.89,1.0,0,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,3,0.0,2,0.0,0,0.0,0,0.0,0.0,48,0.0,85,Midfielder,2,0.0,Alemanha,0.0,0.0,1.0,27
Sami Khedira,Portugal,1.89,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0.0,41,0.0,85,Midfielder,5,0.0,Alemanha,0.0,0.0,0.0,27
Sami Khedira,Argélia,1.89,1.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0.0,32,0.0,85,Midfielder,5,0.0,Alemanha,0.0,inf,inf,27
Sami Khedira,França,1.89,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,25,0.0,85,Midfielder,2,0.0,Alemanha,0.0,inf,inf,27
Ben Foster,Uruguai,1.93,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,90,Goalkeeper,0,0.0,Inglaterra,0.0,inf,inf,31
Ben Foster,Itália,1.93,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,90,Goalkeeper,0,0.0,Inglaterra,0.0,inf,inf,31
Steven Gerrard,Uruguai,1.85,1.0,0,0.0,1,0.0,2,0.0,0,0.0,1,0.0,4,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,42,0.0,83,Midfielder,14,0.0,Inglaterra,0.0,0.0,0.0,34
Steven Gerrard,Costa Rica,1.85,1.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,10,0.0,83,Midfielder,1,0.0,Inglaterra,0.0,inf,inf,34
Steven Gerrard,Itália,1.85,1.0,0,0.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,61,0.0,83,Midfielder,4,0.0,Inglaterra,0.0,0.0,0.0,34
Antonio Valencia,França,1.80,1.0,0,0.0,1,0.0,0,0.0,1,0.0,1,0.0,0,0.0,5,0.0,1,0.0,0,0.0,0,0.0,0.0,20,0.0,78,Midfielder,2,0.0,Equador,1.0,0.0,1.0,28
Antonio Valencia,Honduras,1.80,1.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,3,0.0,5,0.0,0,0.0,0,0.0,0,0.0,0.0,21,0.0,78,Midfielder,0,0.0,Equador,1.0,inf,inf,28
Antonio Valencia,Suíça,1.80,1.0,0,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0.0,26,0.0,78,Midfielder,4,0.0,Equador,1.0,0.0,1.0,28
Shola Ameobi,Bósnia,1.88,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0.0,9,0.0,95,Forward,2,0.0,Nigéria,0.0,inf,inf,32
Shola Ameobi,Argentina,1.88,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,95,Forward,0,0.0,Nigéria,0.0,inf,inf,32
Shola Ameobi,Irã,1.88,0.0,0,0.0,0,0.0,0,0.0,2,0.0,2,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,5,0.0,95,Forward,1,0.0,Nigéria,0.0,0.0,1.0,32
Shola Ameobi,França,1.88,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,95,Forward,0,0.0,Nigéria,0.0,inf,inf,32
Kolo Touré,Colômbia,1.83,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,74,Defender,0,0.0,C. Marfim,0.0,inf,inf,33
Kolo Touré,Grécia,1.83,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,2,0.0,1,0.0,0,0.0,0,0.0,0.0,36,0.0,74,Defender,6,0.0,C. Marfim,0.0,0.0,0.0,33
Kolo Touré,Japão,1.83,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,74,Defender,0,0.0,C. Marfim,0.0,inf,inf,33
Joseph Yobo,Bósnia,1.85,0.0,0,0.0,3,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,19,0.0,85,Defender,10,0.0,Nigéria,0.0,inf,inf,33
Joseph Yobo,Argentina,1.85,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,23,0.0,85,Defender,4,0.0,Nigéria,0.0,inf,inf,33
Joseph Yobo,França,1.85,0.0,0,0.0,2,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,30,0.0,85,Defender,5,0.0,Nigéria,0.0,inf,inf,33
Wayne Rooney,Uruguai,1.76,0.0,0,0.0,0,0.0,0,0.0,3,0.0,5,0.0,1,0.0,2,0.0,4,0.0,1,0.0,0,0.0,0.0,23,0.0,78,Forward,3,0.0,Inglaterra,0.0,0.2,0.6,28
Wayne Rooney,Costa Rica,1.76,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.0,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0.0,5,0.0,78,Forward,1,0.0,Inglaterra,0.0,0.0,1.0,28
Wayne Rooney,Itália,1.76,0.0,1,0.0,0,0.0,1,0.0,0,0.0,3,0.0,2,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0.0,28,0.0,78,Forward,0,0.0,Inglaterra,0.0,0.0,0.0,28
James Milner,Uruguai,1.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,70,Midfielder,0,0.0,Inglaterra,0.0,inf,inf,28
James Milner,Costa Rica,1.75,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,2,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,21,0.0,70,Midfielder,6,0.0,Inglaterra,0.0,inf,inf,28
James Milner,Itália,1.75,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,70,Midfielder,0,0.0,Inglaterra,0.0,inf,inf,28
Xabi Alonso,Austrália,1.83,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0.0,61,0.0,77,Midfielder,8,0.0,Espanha,0.0,inf,inf,32
Xabi Alonso,Holanda,1.83,1.0,0,0.0,0,0.0,1,0.0,1,0.0,1,0.0,0,0.0,1,0.0,2,0.0,1,0.0,0,0.0,0.0,52,0.0,77,Midfielder,3,0.0,Espanha,0.0,1.0,1.0,32
Xabi Alonso,Chile,1.83,1.0,0,0.0,0,0.0,3,0.0,1,0.0,2,0.0,4,0.0,2,0.0,0,0.0,0,0.0,1,0.0,0.0,33,0.0,77,Midfielder,5,0.0,Espanha,0.0,0.0,0.5,32
Pepe Reina,Chile,1.87,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,92,Goalkeeper,0,0.0,Espanha,0.0,inf,inf,31
Pepe Reina,Holanda,1.87,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,92,Goalkeeper,0,0.0,Espanha,0.0,inf,inf,31
Robin Van Persie,México,1.84,2.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1,0.0,2,0.0,0,0.0,0,0.0,0.0,13,0.0,71,Forward,2,0.0,Holanda,0.0,0.0,0.0,30
Robin Van Persie,Espanha,1.84,2.0,0,0.0,0,0.0,1,0.0,3,0.0,4,0.0,0,0.0,2,0.0,0,0.0,2,0.0,4,0.0,0.0,15,0.0,71,Forward,4,0.0,Holanda,0.0,0.5,0.75,30
Robin Van Persie,Austrália,1.84,2.0,0,0.0,0,0.0,0,0.0,4,0.0,4,0.0,2,0.0,4,0.0,3,0.0,1,0.0,1,0.0,0.0,10,0.0,71,Forward,0,0.0,Holanda,0.0,0.25,1.0,30
Dirk Kuyt,México,1.84,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,54,0.0,84,Forward,10,0.0,Holanda,0.0,inf,inf,33
Dirk Kuyt,Chile,1.84,0.0,0,0.0,2,0.0,4,0.0,0,0.0,1,0.0,1,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0.0,22,0.0,84,Forward,6,0.0,Holanda,0.0,0.0,0.0,33
Dirk Kuyt,Espanha,1.84,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,84,Forward,0,0.0,Holanda,0.0,inf,inf,33
Dirk Kuyt,Austrália,1.84,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,84,Forward,0,0.0,Holanda,0.0,inf,inf,33
